paese,isrc,uri,genres,danceability,energy,speechiness,acousticness,instrumentalness,valence,tempo
Bolivia,CLPP22300045,spotify:track:6vRQqxOhUFd78p5tL8jXr7,"['trap argentino', 'trap triste']",0.757,0.768,0.034,0.0954,0,0.972,149.099
Bolivia,QZDYA1800087,spotify:track:3tt9i3Hhzq84dPS8H7iSiJ,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",0.835,0.679,0.0364,0.583,1.98e-06,0.85,124.98
Bolivia,DGA062368509,spotify:track:11PV8CaPqlto9Uejx92C35,['musica chihuahuense'],0.721,0.782,0.045,0.251,0,0.77,90.001
Bolivia,USUM72222552,spotify:track:505v13epFXodT9fVAJ6h8k,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",0.92,0.696,0.0742,0.183,0,0.545,106.966
Bolivia,QMFMF2330232,spotify:track:32hCeeK3ayPux4UauNPsgA,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']",0.777,0.65,0.213,0.128,0,0.401,93.051
Bolivia,ARUM72300004,spotify:track:7MVIfkyzuUmQ716j8U7yGR,['trap argentino'],0.838,0.708,0.166,0.176,0,0.96,119.984
Bolivia,BK4DA2407011,spotify:track:4YntVuBqggRsASIbBoWT3F,['cumbia pop'],0.555,0.555,0.0726,0.2,0,0.774,99.809
Bolivia,USCGH2458227,spotify:track:1dwiWawlwPw5G8TF4ik9ni,['pop boliviano'],0.67,0.571,0.196,0.604,0,0.532,151.948
Brasile,BKMKR2400004,spotify:track:1cIS13bqNfZcTs8LSK8r0a,"['sertanejo', 'sertanejo pop']",0.675,0.893,0.141,0.548,0,0.607,106.064
Brasile,USLZJ2475867,spotify:track:5GV7OpSEb8MPTryL0Q5i6c,[],0.733,0.588,0.175,0.593,3.66e-05,0.376,86.095
Brasile,BRRGE2400093,spotify:track:6P1mkNAmgihFwFRBhpaev3,['agronejo'],0.749,0.44,0.269,0.0667,0,0.301,130.0
Brasile,QZZEC2322612,spotify:track:027ielmg4mNR1p1Ds3Mvgh,"['funk bh', 'funk mtg']",0.761,0.724,0.325,0.818,9.45e-05,0.514,85.899
Brasile,BRRGE2400071,spotify:track:6X6jKoyw1OjogRghMEQAZV,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",0.747,0.8,0.0328,0.132,0,0.718,110.0
Brasile,BCXR82300012,spotify:track:3QpDKVHmf9RDQkJbAUNWzI,['sertanejo pop'],0.662,0.669,0.0334,0.618,0,0.636,107.071
Brasile,BKCMX2300009,spotify:track:3hfCle1QRfbwIpQ1B746lV,"['funk bh', 'funk mtg']",0.664,0.704,0.349,0.778,0.00105,0.744,80.599
Brasile,BRWMB2400220,spotify:track:7pnqm6UEb7SzpDxb53wULT,"['funk carioca', 'funk consciente', 'funk mtg', 'funk paulista']",0.59,0.581,0.495,0.348,0,0.58,72.308
Brasile,BRUM72302190,spotify:track:6cFW2FPaUL4YRJfS9zFJaV,"['sertanejo', 'sertanejo universitario']",0.421,0.813,0.0574,0.313,0,0.559,180.22
Brasile,BRRGE2400145,spotify:track:0WiJIa3V9GdcJfcy1FhLjp,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",0.625,0.728,0.0635,0.403,0,0.54,146.885
Brasile,BKCMX2300041,spotify:track:6Gn8SHd3RIWjOermcidCJk,['funk mtg'],0.6,0.862,0.404,0.597,0,0.821,81.432
Brasile,BRRGE2300443,spotify:track:42JNab8NPeCADJ9D3Cl5wS,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",0.646,0.871,0.219,0.172,0,0.624,79.994
Brasile,BC2TS2400002,spotify:track:2HzLEPWKXcfpwfmEIUURHo,"['trap brasileiro', 'trap funk']",0.843,0.539,0.0405,0.476,0,0.729,133.014
Brasile,QZZEB2398678,spotify:track:24R0oyjvhV4HIFFvoK3XkP,[],0.711,0.59,0.271,0.26,1.83e-06,0.702,86.429
Brasile,BKSGS2300001,spotify:track:1WHDOr19zyyqu6XXIvdgfX,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",0.767,0.743,0.0496,0.418,0,0.764,110.991
Brasile,BRSME2400249,spotify:track:6mJCx80Wc91GPi9ew9bkmD,"['funk carioca', 'funk das antigas', 'sertanejo universitario']",0.844,0.782,0.0487,0.14,1.28e-05,0.525,133.088
Brasile,BKCMX2300060,spotify:track:1jN0ysNJ2d9VZwVdlgspjr,"['funk bh', 'funk mtg']",0.675,0.565,0.433,0.491,3.33e-05,0.802,122.094
Brasile,BRWMB2400319,spotify:track:5brVlCCt8gp4pP0iJOOctj,['funk paulista'],0.739,0.586,0.153,0.754,0,0.578,141.829
Brasile,USUG12401028,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,['pop'],0.675,0.397,0.0245,0.499,5.85e-06,0.319,95.988
Brasile,BR27R2400001,spotify:track:0ODlZu2uJ13I29NfFJJVir,"['arrocha', 'sertanejo', 'sertanejo universitario']",0.733,0.837,0.0552,0.262,0,0.677,147.929
Brasile,BKMWS2300003,spotify:track:5r0JHIjcY7dLWHkljNeQbj,"['arrocha', 'sertanejo', 'sertanejo universitario']",0.53,0.855,0.0807,0.418,0,0.38,159.966
Brasile,BKA7Y2400021,spotify:track:6r6wTVl7sBndpdlzBSEYnF,"['agronejo', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",0.667,0.838,0.0412,0.307,1.18e-05,0.34,130.009
Brasile,BCZZV2400043,spotify:track:0croxrAHihVLdCAG2OooQg,"['arrocha', 'forro', 'forro de favela']",0.67,0.968,0.0361,0.661,0,0.925,154.059
