paese,isrc,uri,danceability,energy,speechiness,acousticness,instrumentalness,valence,tempo;;;;;;;;;;;;;;;;;,all_genres
Argentina,AR5UH2301964,spotify:track:0mJRX0WnqWlu8Boe7gpQ1P,0.857,0.708,0.0402,0.352,0.0,0.914,98.009;;;;;;;;;;;;;;;;;,pop argentino
Argentina,USUG12401028,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,0.675,0.397,0.0245,0.499,5.85e-06,0.319,95.988;;;;;;;;;;;;;;;;;,pop
"Argentina,CLPP22300118,spotify:track:7JKptWv4YXmievid0HajID,""['trap argentino', 'trap triste']"",0.482,0.792,0.0859,0.182,0,0.572,154.932;;;;;;;;;;;;;;;;;",,,,,,,,,,
"Argentina,USUM72318216,spotify:track:7bywjHOc0wSjGGbj04XbVi,""['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"",0.774,0.86,0.13,0.131,0,0.446,100.019;;;;;;;;;;;;;;;;;",,,,,,,,,,
Argentina,BK4DA2407011,spotify:track:4YntVuBqggRsASIbBoWT3F,0.555,0.555,0.0726,0.2,0.0,0.774,99.809;;;;;;;;;;;;;;;;;,cumbia pop
Argentina,UYS642300003,spotify:track:1kqH58eGh2ZTOHwqBIB2tM,0.76,0.703,0.0631,0.313,0.0,0.739,96.033;;;;;;;;;;;;;;;;;,rap uruguayo
Argentina,USUG12401029,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,0.595,0.421,0.0261,0.0518,1.56e-06,0.261,110.305;;;;;;;;;;;;;;;;;,pop
"Argentina,USHR12347039,spotify:track:490e7PHsxkzMot8qCO36Bt,""['latin pop', 'latin viral pop', 'pop argentino']"",0.57,0.271,0.0354,0.689,0,0.326,143.666;;;;;;;;;;;;;;;;;",,,,,,,,,,
Argentina,UYB282413003,spotify:track:2eV3pmYGM1bm1vWHc0t8WF,0.897,0.624,0.107,0.222,0.0,0.821,102.012;;;;;;;;;;;;;;;;;,
Argentina,USUG12401030,spotify:track:05msZuGKP3OCUGQnvLBOf4,0.593,0.582,0.0285,0.165,0.0,0.436,97.079;;;;;;;;;;;;;;;;;,pop
