Country,Track Name,Artists
AR,PERRO NEGRO,"Bad Bunny, Feid"
AR,La Víctima,Xavi
AR,Strangers,Kenya Grace
AR,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
AR,Whatever She Wants,Bryson Tiller
AR,Starboy,"The Weeknd, Daft Punk"
AR,Like Crazy,Jimin
AR,Praise Jah In The Moonlight,YG Marley
AR,Lan,Zeynep Bastık
AR,QLONA,"KAROL G, Peso Pluma"
AR,bye,Ariana Grande
AR,eternal sunshine,Ariana Grande
AR,Standing Next to You,Jung Kook
AR,Flowers,Miley Cyrus
AR,intro (end of the world),Ariana Grande
AR,Popular (with Playboi Carti & Madonna),"The Weeknd, Playboi Carti, Madonna"
AR,Evergreen,Richy Mitch & The Coal Miners
AR,Austin,Dasha
AR,Mtg Quero Te Encontrar,"DJ JZ, Humberto & Ronaldo, Mc Mininin, Silvanno Salles, DJ LG PROD"
AR,End of Beginning,Djo
AR,smoke & a light,Ole 60
AR,She Know What She Wanted - Jersey Club Remix Slowed,"Godard, Ziahfyah"
AR,Maquillaje,"Renn, Yexel"
AR,Austin,Dasha
AR,Leaving the Lot,King Hendrick$
AR,Можно я с тобой,AP$ENT
AR,SC-9,Yahir Saldivar
AR,Kennedy'i Ben Vurdum,Wegh
AR,Blue Over You,Mason Ramsey
AR,Beautiful Things,Benson Boone
AR,✻H+3+ЯД✻7luCJIo0T6...,vyrval
AR,Tu és + Águas Purificadoras - Ao vivo,"fhop music, Débora Rabelo, Hamilton Rabelo"
AR,Wine Into Whiskey,Tucker Wetmore
AR,"Tshwala Bam (feat. S.N.E, EeQue)","TitoM, Yuppe, EeQue, S.N.E"
AR,Europapa,Joost
AR,Sadqay,"Aashir Wajahat, NAYEL, Nehaal Naseem"
AR,Gata Only,"FloyyMenor, Cris Mj"
AR,EL MATADOR (From the Netflix Rap Show “Nuova Scena”),Elmatadormc7
AR,Eva (feat. Tedua),"Kid Yugi, Tedua, Junior K"
AR,Belong Together,Mark Ambor
AR,100 MESSAGGI,Lazza
AR,¿Cómo Pasó?,Ela Taubert
AR,Accidente,Las Ligas Menores
AR,Qual é seu desejo?,"Tz da Coronel, Ryu, The Runner, Nagalli, Cúpula"
AR,Smart,LE SSERAFIM
AR,Stumblin' In,CYRIL
AR,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti"
AR,Lilith,Kid Yugi
AR,Bling-Bang-Bang-Born,Creepy Nuts
AR,De 10 Mulher 11 É Maluca,"MC Saci, MC Fahah, DJ Sammer, Dj Lc"
AR,Yeah Glo!,GloRilla
AR,Little Bit Better,"Caleb Hearn, ROSIE"
AR,Irish Pub Song,The High Kings
AR,"ZEIT, DASS SICH WAS DREHT","$OHO BANI, Herbert Grönemeyer, Ericson"
